Volume (pixel^3),Surface (pixel^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (pixel),SD dist. to surf. (pixel),Median dist. to surf. (pixel),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
838,954,838,577,213690,255.000,0.000,255,255,255,176.746,3.842,3.638,7.840,3.796,7.123,176.747,3.842,3.638,160,1,1,36,11,11
625,780,625,471,159375,255.000,0.000,255,255,255,125.741,40.342,2.048,6.488,2.577,6.419,125.741,40.342,2.048,117,30,1,19,23,4
109326,56144,109326,35426,27921660,255.398,0.398,255,255,255,61.154,165.208,27.055,41.099,14.643,41.470,61.040,164.812,27.006,1,98,1,121,137,52
102636,55774,102636,33675,26209020,255.359,0.359,255,255,255,191.059,167.225,25.430,45.980,20.186,47.433,190.795,166.922,25.385,144,82,1,114,158,48
6779,3820,6779,2366,1728645,255.000,0.000,255,255,255,111.193,36.376,13.920,14.488,5.725,14.010,111.194,36.376,13.920,89,20,8,47,42,12
23602,12988,23602,7973,6018510,255.000,0.000,255,255,255,58.512,33.915,24.012,26.736,10.681,26.059,58.514,33.916,24.012,28,1,9,85,80,31
2480,1580,2480,1061,632400,255.000,0.000,255,255,255,249.283,246.958,14.029,9.048,2.718,9.260,249.285,246.958,14.029,238,233,9,20,25,10
42974,26766,42974,15929,10958370,255.000,0.000,255,255,255,173.794,49.081,24.040,36.195,14.682,35.980,173.772,49.081,24.037,99,1,10,138,91,34
3166,1894,3166,1050,807330,255.000,0.000,255,255,255,103.102,130.166,14.538,9.381,2.438,9.745,103.104,130.166,14.538,91,117,10,26,27,11
3388,2170,3388,1262,863940,255.000,0.000,255,255,255,80.170,151.478,15.576,10.119,3.031,10.458,80.171,151.478,15.576,67,138,11,28,31,11
2822,2124,2822,1254,719610,255.000,0.000,255,255,255,178.180,103.036,16.538,10.285,3.643,10.373,178.181,103.037,16.538,167,85,12,23,37,10
3024,1844,3024,1034,771120,255.000,0.000,255,255,255,129.621,120.146,17.612,9.370,2.548,9.566,129.622,120.146,17.612,118,107,12,24,28,12
7346,4494,7346,2587,1873230,255.000,0.000,255,255,255,123.384,87.892,19.973,15.208,6.251,15.521,123.384,87.892,19.974,97,70,13,54,35,15
2890,1958,2890,1183,736950,255.000,0.000,255,255,255,20.967,84.006,18.225,9.743,3.136,9.992,20.967,84.006,18.225,9,68,14,25,32,10
3207,2050,3207,1171,817785,255.000,0.000,255,255,255,83.896,82.729,18.886,9.811,2.886,10.102,83.898,82.729,18.886,71,67,14,27,32,11
3353,2006,3353,1154,855015,255.000,0.000,255,255,255,117.841,150.408,18.874,10.132,3.439,9.965,117.842,150.408,18.874,100,139,14,34,25,11
3872,2226,3872,1350,987360,255.000,0.000,255,255,255,129.663,191.589,18.270,10.539,3.440,10.750,129.664,191.589,18.270,117,175,14,25,35,10
3715,2322,3715,1298,947325,255.000,0.000,255,255,255,202.022,243.978,19.651,11.348,4.327,10.980,202.023,243.978,19.651,185,228,14,35,30,13
15594,7580,15594,4602,3976470,255.000,0.000,255,255,255,99.852,244.641,28.235,16.840,4.955,17.184,99.857,244.613,28.235,74,221,14,50,37,34
